ch,hand,digit,shifted,row,col
1,L,4,0,2,1
!,L,4,1,2,1
"'",L,4,0,1,1
"""",L,4,1,1,1
a,L,4,0,0,1
A,L,4,1,0,1
;,L,4,0,-1,1
:,L,4,1,-1,1
2,L,3,0,2,2
@,L,3,1,2,2
",",L,3,0,1,2
<,L,3,1,1,2
o,L,3,0,0,2
O,L,3,1,0,2
q,L,3,0,-1,2
Q,L,3,1,-1,2
3,L,2,0,2,3
#,L,2,1,2,3
.,L,2,0,1,3
>,L,2,1,1,3
e,L,2,0,0,3
E,L,2,1,0,3
j,L,2,0,-1,3
J,L,2,1,-1,3
4,L,1,0,2,4
$,L,1,1,2,4
p,L,1,0,1,4
P,L,1,1,1,4
u,L,1,0,0,4
U,L,1,1,0,4
k,L,1,0,-1,4
K,L,1,1,-1,4
5,L,1,0,2,5
%,L,1,1,2,5
y,L,1,0,1,5
Y,L,1,1,1,5
i,L,1,0,0,5
I,L,1,1,0,5
x,L,1,0,-1,5
X,L,1,1,-1,5
6,R,1,0,2,6
^,R,1,1,2,6
f,R,1,0,1,6
F,R,1,1,1,6
d,R,1,0,0,6
D,R,1,1,0,6
b,R,1,0,-1,6
B,R,1,1,-1,6
7,R,1,0,2,7
&,R,1,1,2,7
g,R,1,0,1,7
G,R,1,1,1,7
h,R,1,0,0,7
H,R,1,1,0,7
m,R,1,0,-1,7
M,R,1,1,-1,7
8,R,2,0,2,8
*,R,2,1,2,8
c,R,2,0,1,8
C,R,2,1,1,8
t,R,2,0,0,8
T,R,2,1,0,8
w,R,2,0,-1,8
W,R,2,1,-1,8
9,R,3,0,2,9
(,R,3,1,2,9
r,R,3,0,1,9
R,R,3,1,1,9
n,R,3,0,0,9
N,R,3,1,0,9
v,R,3,0,-1,9
V,R,3,1,-1,9
0,R,3,0,2,10
),R,3,1,2,10
l,R,4,0,1,10
L,R,4,1,1,10
s,R,4,0,0,10
S,R,4,1,0,10
z,R,4,0,-1,10
Z,R,4,1,-1,10
[,R,4,0,2,11
{,R,4,1,2,11
/,R,4,0,1,11
?,R,4,1,1,11
-,R,4,0,0,11
_,R,4,1,0,11
],R,4,0,2,12
},R,4,1,2,12
=,R,4,0,1,12
+,R,4,1,1,12
|,R,4,1,1,13
~,L,4,1,2,0
,R,4,0,2,13
 ,R,0,0,-2,-1
