ch,hand,digit,shifted,row,col
1,L,4,0,2,1
!,L,4,1,2,1
q,L,4,0,1,1
Q,L,4,1,1,1
a,L,4,0,0,1
A,L,4,1,0,1
z,L,4,0,-1,1
Z,L,4,1,-1,1
2,L,3,0,2,2
@,L,3,1,2,2
w,L,3,0,1,2
W,L,3,1,1,2
s,L,3,0,0,2
S,L,3,1,0,2
x,L,3,0,-1,2
X,L,3,1,-1,2
3,L,2,0,2,3
#,L,2,1,2,3
e,L,2,0,1,3
E,L,2,1,1,3
d,L,2,0,0,3
D,L,2,1,0,3
c,L,2,0,-1,3
C,L,2,1,-1,3
4,L,1,0,2,4
$,L,1,1,2,4
r,L,1,0,1,4
R,L,1,1,1,4
f,L,1,0,0,4
F,L,1,1,0,4
v,L,1,0,-1,4
V,L,1,1,-1,4
5,L,1,0,2,5
%,L,1,1,2,5
t,L,1,0,1,5
T,L,1,1,1,5
g,L,1,0,0,5
G,L,1,1,0,5
b,L,1,0,-1,5
B,L,1,1,-1,5
6,R,1,0,2,6
^,R,1,1,2,6
y,R,1,0,1,6
Y,R,1,1,1,6
h,R,1,0,0,6
H,R,1,1,0,6
n,R,1,0,-1,6
N,R,1,1,-1,6
7,R,1,0,2,7
&,R,1,1,2,7
u,R,1,0,1,7
U,R,1,1,1,7
j,R,1,0,0,7
J,R,1,1,0,7
m,R,1,0,-1,7
M,R,1,1,-1,7
8,R,2,0,2,8
*,R,2,1,2,8
i,R,2,0,1,8
I,R,2,1,1,8
k,R,2,0,0,8
K,R,2,1,0,8
",",R,2,0,-1,8
<,R,2,1,-1,8
9,R,3,0,2,9
(,R,3,1,2,9
o,R,3,0,1,9
O,R,3,1,1,9
l,R,3,0,0,9
L,R,3,1,0,9
.,R,3,0,-1,9
>,R,3,1,-1,9
0,R,3,0,2,10
),R,3,1,2,10
p,R,4,0,1,10
P,R,4,1,1,10
;,R,4,0,0,10
:,R,4,1,0,10
/,R,4,0,-1,10
?,R,4,1,-1,10
-,R,4,0,2,11
_,R,4,1,2,11
[,R,4,0,1,11
{,R,4,1,1,11
"'",R,4,0,0,11
"""",R,4,1,0,11
=,R,4,0,2,12
+,R,4,1,2,12
],R,4,0,1,12
},R,4,1,1,12
|,R,4,1,1,13
~,L,4,1,2,0
,R,4,0,2,13
 ,R,0,0,-2,-1
